Date	MSFT	EBAY	ABT	MRK	Market	Tbill
4/30/2003	0.056175	0.089087	0.083536	0.062066	0.072716	0.001000
5/30/2003	-0.037544	0.094070	0.096480	-0.044689	0.027079	0.000900
6/30/2003	0.041853	0.023119	-0.017733	0.096319	0.035890	0.001000
7/31/2003	0.030031	0.031731	-0.100672	-0.087036	-0.031487	0.000700
8/29/2003	0.004165	0.032805	0.026752	-0.039496	0.006057	0.000700
9/30/2003	0.048265	-0.031944	0.055831	0.013306	0.021365	0.000800
10/31/2003	-0.054537	0.042692	0.004456	-0.125840	-0.033307	0.000700
11/28/2003	-0.016450	-0.000715	0.037072	-0.082486	-0.015645	0.000700
12/31/2003	0.064566	0.156021	0.054299	0.147581	0.105617	0.000800
1/30/2004	0.010230	0.035908	-0.073096	0.030303	0.000836	0.000700
2/27/2004	-0.040506	0.026446	-0.006500	0.010084	-0.002619	0.000600
3/31/2004	-0.060309	0.008443	-0.039720	-0.073688	-0.041319	0.000900
4/30/2004	0.048135	0.155167	0.074358	0.063589	0.085312	0.000800
5/28/2004	0.003827	0.109584	-0.033697	0.006383	0.021524	0.000600
6/30/2004	0.088830	0.035473	-0.010920	0.011997	0.031345	0.000800
7/30/2004	-0.002451	-0.148124	-0.031610	-0.045263	-0.056862	0.001000
8/31/2004	-0.038955	0.104813	0.059466	-0.008379	0.029236	0.001100
9/30/2004	0.012821	0.062399	0.016071	-0.259917	-0.042157	0.001100
10/29/2004	0.011573	0.061888	0.009418	-0.051212	0.007917	0.001100
11/30/2004	0.066313	0.150261	-0.015717	-0.105078	0.023945	0.001500
12/31/2004	-0.003357	0.035975	0.111773	0.162762	0.076788	0.001600
1/31/2005	-0.016467	-0.299467	-0.032382	-0.127256	-0.118893	0.001600
2/28/2005	-0.039664	0.051288	0.021546	0.130125	0.040824	0.001600
3/31/2005	-0.039348	-0.130252	0.013699	0.033415	-0.030622	0.002100
4/29/2005	0.046752	-0.148953	0.057373	0.047266	0.000610	0.002100
5/31/2005	0.022963	0.198360	-0.018714	-0.043068	0.039885	0.002400
6/30/2005	-0.037209	-0.131316	0.015962	-0.039347	-0.047978	0.002300
7/29/2005	0.030998	0.265677	-0.045933	0.008442	0.064796	0.002400
8/31/2005	0.072266	-0.030876	-0.032168	-0.078880	-0.017415	0.003000
9/30/2005	-0.060263	0.017535	-0.060492	-0.036132	-0.034838	0.002900
10/31/2005	-0.001166	-0.038592	0.018505	0.037119	0.003967	0.002700
11/30/2005	0.080176	0.131280	-0.124042	0.055280	0.035674	0.003100
12/30/2005	-0.055275	-0.035483	0.045611	0.081973	0.009207	0.003200
1/31/2006	0.076482	-0.002776	0.097822	0.084565	0.064023	0.003500
2/28/2006	-0.042275	-0.070534	0.023870	0.010435	-0.019626	0.003400
3/31/2006	0.012654	-0.026460	-0.038705	0.021688	-0.007706	0.003700
4/28/2006	-0.112459	-0.117692	0.009786	-0.022992	-0.060839	0.003600
5/31/2006	-0.058466	-0.046498	-0.000936	-0.021790	-0.031923	0.004300
6/30/2006	0.028698	-0.107284	0.021311	0.094323	0.009262	0.004000
7/31/2006	0.032618	-0.178218	0.098898	0.105408	0.014677	0.004000
8/31/2006	0.072068	0.155796	0.019468	0.016332	0.065916	0.004200
9/29/2006	0.064202	0.019410	-0.002875	0.033292	0.028507	0.004100
10/31/2006	0.049726	0.132934	-0.018649	0.084010	0.062005	0.004100
11/30/2006	0.026139	0.006536	-0.017891	-0.020035	-0.001313	0.004200
12/29/2006	0.017030	-0.070192	0.043935	-0.012112	-0.005335	0.004000
1/31/2007	0.033490	0.077153	0.091122	0.026376	0.057035	0.004400
2/28/2007	-0.084021	-0.010188	0.030566	-0.013408	-0.019263	0.003800
3/30/2007	-0.010650	0.033999	0.021604	0.009121	0.013519	0.004300
4/30/2007	0.074273	0.023831	0.017465	0.164591	0.070040	0.004400
5/31/2007	0.028367	-0.040660	-0.004769	0.019635	0.000643	0.004100
6/29/2007	-0.039752	-0.011671	-0.049689	-0.043416	-0.036132	0.004000
7/31/2007	-0.016288	0.006837	-0.050640	-0.003012	-0.015776	0.004000
8/31/2007	-0.005463	0.052469	0.024068	0.010473	0.020387	0.004200
9/28/2007	0.025409	0.144282	0.032942	0.038222	0.060214	0.003200
10/31/2007	0.249491	-0.074833	0.021620	0.127104	0.080846	0.003200
11/30/2007	-0.084291	-0.071191	0.052911	0.018881	-0.020923	0.003400
12/31/2007	0.059524	-0.010140	-0.023648	-0.014795	0.002735	0.002700
1/31/2008	-0.084270	-0.189816	0.003107	-0.206677	-0.119414	0.002100
2/29/2008	-0.162386	-0.019710	-0.046814	-0.039046	-0.066989	0.001300
3/31/2008	0.043382	0.132018	0.029879	-0.135814	0.017366	0.001700

